root@comp3134-Winter2026:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
21:44:18.306672 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3836570634:3836570678, ack 3358652334, win 4589, length 44
21:44:20.855495 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3085:3121, ack 3148, win 2045, length 36
21:44:20.855672 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3148:3184, ack 3121, win 4589, length 36
21:44:20.887472 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3121:3157, ack 3184, win 2045, length 36
21:44:20.887652 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3184:3220, ack 3157, win 4589, length 36
21:44:20.917732 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3157:3193, ack 3220, win 2045, length 36
21:44:20.917936 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3220:3256, ack 3193, win 4589, length 36
21:44:20.949697 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3193:3229, ack 3256, win 2044, length 36
21:44:20.949921 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3256:3292, ack 3229, win 4589, length 36
21:44:20.981574 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3229:3265, ack 3292, win 2044, length 36
21:44:20.981729 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3292:3328, ack 3265, win 4589, length 36
21:44:20.985665 IP i244.tb-as-18.omantel.net.om.57896 > comp3134-Winter2026.ssh: Flags [S], seq 459529306, win 64240, options [mss 1460,sackOK,TS val 2451150181 ecr 0,nop,wscale 7], length 0
21:44:20.985716 IP comp3134-Winter2026 > i244.tb-as-18.omantel.net.om: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 68
21:44:21.001838 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3265:3333, ack 3328, win 2044, length 68
21:44:21.027456 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3333:3369, ack 3328, win 2044, length 36
21:44:21.027634 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [.], ack 3369, win 4589, length 0
21:44:21.027703 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3328:3364, ack 3369, win 4589, length 36
21:44:21.057846 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3369:3405, ack 3364, win 2044, length 36
21:44:21.058043 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3364:3400, ack 3405, win 4589, length 36
21:44:21.091603 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3405:3441, ack 3400, win 2044, length 36
21:44:21.091800 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3400:3436, ack 3441, win 4589, length 36
21:44:21.119755 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3441:3477, ack 3436, win 2044, length 36
21:44:21.119921 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3436:3472, ack 3477, win 4589, length 36
21:44:21.151612 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3477:3513, ack 3472, win 2044, length 36
21:44:21.151783 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3472:3508, ack 3513, win 4589, length 36
21:44:21.181507 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3513:3549, ack 3508, win 2043, length 36
21:44:21.181685 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3508:3544, ack 3549, win 4589, length 36
21:44:21.213509 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3549:3585, ack 3544, win 2043, length 36
21:44:21.213691 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3544:3580, ack 3585, win 4589, length 36
21:44:21.243773 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3585:3621, ack 3580, win 2043, length 36
21:44:21.243944 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3580:3616, ack 3621, win 4589, length 36
21:44:21.305617 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [.], ack 3616, win 2043, length 0
21:44:23.032919 IP 31.145.94.167.censys-scanner.com.16231 > comp3134-Winter2026.svrloc: Flags [S], seq 3526093099, win 42340, options [mss 1460,sackOK,TS val 1769548834 ecr 0,nop,wscale 10], length 0
21:44:23.032967 IP comp3134-Winter2026.svrloc > 31.145.94.167.censys-scanner.com.16231: Flags [R.], seq 0, ack 3526093100, win 0, length 0
21:44:24.511522 IP i244.tb-as-18.omantel.net.om.57900 > comp3134-Winter2026.ssh: Flags [S], seq 1294739386, win 64240, options [mss 1460,sackOK,TS val 2451153705 ecr 0,nop,wscale 7], length 0
21:44:24.511574 IP comp3134-Winter2026 > i244.tb-as-18.omantel.net.om: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 68
21:44:25.928650 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [S], seq 414521947, win 64240, options [mss 1460,sackOK,TS val 869659336 ecr 0,nop,wscale 7], length 0
21:44:25.928719 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [S.], seq 2999734416, ack 414521948, win 65160, options [mss 1460,sackOK,TS val 965312436 ecr 869659336,nop,wscale 7], length 0
21:44:26.023455 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [.], ack 1, win 502, options [nop,nop,TS val 869659431 ecr 965312436], length 0
21:44:26.023531 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 1:13, ack 1, win 502, options [nop,nop,TS val 869659431 ecr 965312436], length 12: SSH: SSH-2.0-Go
21:44:26.023545 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [.], ack 13, win 509, options [nop,nop,TS val 965312530 ecr 869659431], length 0
21:44:26.035539 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 1:44, ack 13, win 509, options [nop,nop,TS val 965312542 ecr 869659431], length 43: SSH: SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.14
21:44:26.130209 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [.], ack 44, win 502, options [nop,nop,TS val 869659538 ecr 965312542], length 0
21:44:26.130262 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 44:1164, ack 13, win 509, options [nop,nop,TS val 965312637 ecr 869659538], length 1120
21:44:26.130282 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 13:1133, ack 44, win 502, options [nop,nop,TS val 869659538 ecr 965312542], length 1120
21:44:26.170640 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [.], ack 1133, win 532, options [nop,nop,TS val 965312678 ecr 869659538], length 0
21:44:26.224920 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [.], ack 1164, win 501, options [nop,nop,TS val 869659632 ecr 965312637], length 0
21:44:26.225075 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 1133:1181, ack 1164, win 501, options [nop,nop,TS val 869659632 ecr 965312637], length 48
21:44:26.225101 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [.], ack 1181, win 532, options [nop,nop,TS val 965312732 ecr 869659632], length 0
21:44:26.229974 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 1164:1736, ack 1181, win 532, options [nop,nop,TS val 965312737 ecr 869659632], length 572
21:44:26.324620 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [.], ack 1736, win 501, options [nop,nop,TS val 869659732 ecr 965312737], length 0
21:44:26.324920 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 1181:1197, ack 1736, win 501, options [nop,nop,TS val 869659732 ecr 965312737], length 16
21:44:26.324943 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 1197:1249, ack 1736, win 501, options [nop,nop,TS val 869659732 ecr 965312737], length 52
21:44:26.324996 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [.], ack 1249, win 532, options [nop,nop,TS val 965312832 ecr 869659732], length 0
21:44:26.325089 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 1736:1788, ack 1249, win 532, options [nop,nop,TS val 965312832 ecr 869659732], length 52
21:44:26.419776 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 1249:1317, ack 1788, win 501, options [nop,nop,TS val 869659827 ecr 965312832], length 68
21:44:26.424206 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 1788:1840, ack 1317, win 532, options [nop,nop,TS val 965312931 ecr 869659827], length 52
21:44:26.518951 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [P.], seq 1317:1401, ack 1840, win 501, options [nop,nop,TS val 869659926 ecr 965312931], length 84
21:44:26.559644 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [.], ack 1401, win 532, options [nop,nop,TS val 965313067 ecr 869659926], length 0
21:44:28.002950 IP i244.tb-as-18.omantel.net.om.47930 > comp3134-Winter2026.ssh: Flags [S], seq 2067674260, win 64240, options [mss 1460,sackOK,TS val 2451157198 ecr 0,nop,wscale 7], length 0
21:44:28.003010 IP comp3134-Winter2026 > i244.tb-as-18.omantel.net.om: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 68
21:44:28.630960 IP comp3134-Winter2026.ssh > i244.tb-as-18.omantel.net.om.33510: Flags [F.], seq 3341659193, ack 2421583192, win 532, options [nop,nop,TS val 2202221652 ecr 2451038873], length 0
21:44:28.838168 IP i244.tb-as-18.omantel.net.om.33510 > comp3134-Winter2026.ssh: Flags [.], ack 1, win 501, options [nop,nop,TS val 2451158023 ecr 2202221652], length 0
21:44:28.838219 IP comp3134-Winter2026 > i244.tb-as-18.omantel.net.om: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 60
21:44:29.810244 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 1840:1892, ack 1401, win 532, options [nop,nop,TS val 965316317 ecr 869659926], length 52
21:44:29.905029 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [F.], seq 1401, ack 1892, win 501, options [nop,nop,TS val 869663312 ecr 965316317], length 0
21:44:29.905087 IP comp3134-Winter2026 > 64.226.92.248: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 60
21:44:30.109649 IP comp3134-Winter2026.ssh > 64.226.92.248.38446: Flags [P.], seq 1840:1892, ack 1401, win 532, options [nop,nop,TS val 965316617 ecr 869659926], length 52
21:44:30.204388 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [.], ack 1892, win 501, options [nop,nop,TS val 869663612 ecr 965316617,nop,nop,sack 1 {1840:1892}], length 0
21:44:30.204454 IP comp3134-Winter2026 > 64.226.92.248: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 72
21:44:30.218185 IP 64.226.92.248.38446 > comp3134-Winter2026.ssh: Flags [F.], seq 1401, ack 1892, win 501, options [nop,nop,TS val 869663626 ecr 965316617], length 0
tcpdump: pcap_loop: truncated dump file; tried to read 94 captured bytes, only got 73
